<http://zbw.eu/stw/descriptor/10991-6>	Impact assessment
<http://zbw.eu/stw/descriptor/30073-4>	Validation
<http://zbw.eu/stw/descriptor/19524-6>	Shock
<http://zbw.eu/stw/descriptor/15272-6>	Estimation theory
<http://zbw.eu/stw/descriptor/19073-6>	Theory
<http://zbw.eu/stw/descriptor/19037-3>	Estimation
<http://zbw.eu/stw/descriptor/12945-3>	Agriculture
<http://zbw.eu/stw/descriptor/10008-6>	Investment
<http://zbw.eu/stw/descriptor/13434-2>	Crop yield
<http://zbw.eu/stw/descriptor/17589-2>	Southeast Asia
<http://zbw.eu/stw/descriptor/17704-0>	Ghana
<http://zbw.eu/stw/descriptor/18120-0>	SME
<http://zbw.eu/stw/descriptor/12487-0>	Return on investment
<http://zbw.eu/stw/descriptor/17612-5>	Sri Lanka
<http://zbw.eu/stw/descriptor/11222-6>	Human capital investment
<http://zbw.eu/stw/descriptor/19516-5>	Returns to education
<http://zbw.eu/stw/descriptor/17578-0>	Indonesia
