<http://zbw.eu/stw/descriptor/11327-6>	Wage structure
<http://zbw.eu/stw/descriptor/18538-0>	Export sector
<http://zbw.eu/stw/descriptor/12072-1>	Enterprise
<http://zbw.eu/stw/descriptor/12275-1>	Profit
<http://zbw.eu/stw/descriptor/11322-2>	Wages
<http://zbw.eu/stw/descriptor/19768-6>	Justice
<http://zbw.eu/stw/descriptor/10051-5>	Open economy
<http://zbw.eu/stw/descriptor/19037-3>	Estimation
<http://zbw.eu/stw/descriptor/19086-4>	Bosnia and Herzegovina
<http://zbw.eu/stw/descriptor/18227-3>	Croatia
<http://zbw.eu/stw/descriptor/17255-3>	France
<http://zbw.eu/stw/descriptor/30078-1>	Serbia
<http://zbw.eu/stw/descriptor/18226-5>	Slovenia
